1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43P0
1,0,0,2R,2R,2R,1,1,2R,2R,2R,2R,2R,42N0,2R,2R,2R,2R,2R,1
1,0,0,2R,0,0,0,0,2R,0,0,0,2R,0,0,0,0,0,0,1
1,2R,0,2R,0,0,0,33,0,0,0,0,2R,0,0,0,9,0,0,1
1,0,0,2R,0,0,1,1,2R,0,0,0,2R,1,0,0,0,0,0,1
1,0,0,2R,0,0,0,1,2R,0,0,0,2R,1,0,0,0,0,0,1
1,0,0,2R,0,0,0,1,2R,0,0,0,1,0,0,0,0,0,0,1
1,0,0,2R,0,0,0,1,1,0,0,41N3,0,0,0,1,0,0,0,43N1
1,0,0,2R,0,0,0,0,0,34,1,0,0,0,2R,0,0,0,0,1
1,0,2R,2R,0,0,0,0,0,0,0,0,0,2R,0,0,0,0,0,1
1,0,2R,2R,0,0,0,0,0,2R,0,0,0,0,0,0,0,0,0,1
1,0,0,2R,0,0,0,0,2R,2R,0,0,0,0,0,0,1,0,0,1
1,0,0,2R,0,0,0,0,2R,2R,0,0,0,0,0,2R,0,0,0,1
1,0,0,2R,0,0,0,0,2R,2R,0,0,0,2R,2R,0,0,0,0,1
44N1,0,0,1,0,0,0,0,1,1,41N4,1,1,0,0,0,0,0,2R,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2R,2R,1
1,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2R,2R,2R,1
1,1,1,1,1,1,41N0,1,1,1,1,1,1,1,1,1,1,1,1,1
