0,0,0,0,0,0,0,0,2R,2R,0,0,0,2R,2R,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2R,0,9,0,2R,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2R,0,0,0,2R,0,0,0,0,0,0,0,0,0
0,0,0,0,2R,2R,2R,2R,2R,2R,44N1,0,0,2R,2R,2R,2R,2R,2R,0,0,0,0
0,0,0,0,2R,0,0,0,0,0,0,0,0,0,0,0,0,0,2R,0,0,0,0
0,0,0,0,2R,0,0,0,0,0,0,0,0,0,0,0,0,0,2R,0,0,0,0
0,0,0,0,2R,0,0,0,0,0,0,0,0,0,0,0,0,0,2R,0,0,0,0
0,0,0,0,2R,0,0,0,0,0,0,0,0,0,0,0,0,0,2R,0,0,0,0
0,0,0,0,2R,0,0,0,0,0,0,0,0,0,0,0,0,0,2R,0,0,0,0
0,0,0,0,2R,31,0,0,0,0,0,0,0,0,0,0,0,0,2R,0,0,0,0
0,0,0,0,2R,0,0,0,0,0,0,0,0,0,0,0,0,0,2R,0,0,0,0
0,0,0,0,2R,1,1,0,0,0,0,0,0,0,0,0,0,0,2R,0,0,0,0
0,0,0,0,2R,62,0,0,0,0,0,0,0,0,0,0,0,0,2R,0,0,0,0
0,0,0,0,2R,0,0,0,0,0,0,0,0,0,0,0,0,0,2R,0,0,0,0
0,0,0,0,2R,1,1,1,1,1,1,1,0,5,0,0,2R,2R,2R,0,0,0,0
0,0,0,0,2R,62,0,0,0,0,0,0,0,0,0,0,0,31,2R,0,0,0,0
0,0,0,0,2R,0,0,0,0,0,0,0,0,0,0,0,0,0,2R,0,0,0,0
0,0,0,0,2R,1,1,0,0,0,0,8,0,0,0,0,0,0,2R,0,0,0,0
0,0,0,0,2R,0,0,0,0,0,0,0,0,0,0,0,0,0,2R,0,0,0,0
0,0,0,0,2R,0,0,0,0,0,0,1,0,0,1,0,0,0,2R,0,0,0,0
0,0,0,0,2R,0,0,0,0,0,0,1,0,0,1,0,0,0,2R,0,0,0,0
0,0,0,0,2R,0,0,0,0,0,0,0,1,1,0,0,0,0,2R,0,0,0,0
0,0,0,0,2R,2R,2R,2R,2R,2R,2R,2R,2R,2R,2R,2R,2R,2R,2R,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
0,빈칸,,,,,,,,,,,,,,,,,,,,,
1,벽,,,,,,,,,,,,,,,,,,,,,
2,장애물,,,,,,,,,,,,,,,,,,,,,
3,레이저 버튼,,,,,,,,,,,,,,,,,,,,,
4,레이저 사출기,,,,,,,,,,,,,,,,,,,,,
5,노 스탑 존,,,,,,,,,,,,,,,,,,,,,
6,우주 쓰레기,,,,,,,,,,,,,,,,,,,,,
7,컬러 존,,,,,,,,,,,,,,,,,,,,,
8,플레이어 스폰,,,,,,,,,,,,,,,,,,,,,
9,깃발,,,,,,,,,,,,,,,,,,,,,
