2B,2B,2B,2B,2B,2B,2B,2B,2B,2B,2B,2B,2B,2B,2B,2B,2B,2B,2B,2B,2B,2B,2B,2B,2B,2B,2B
2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2B
2B,2B,2B,2B,0,0,0,0,2B,2B,2B,2B,0,0,0,0,2B,2B,2B,2B,2B,2B,2B,2B,2B,0,2B
2B,0,0,0,0,0,0,0,2B,2B,2B,2B,0,0,0,0,0,0,0,0,0,0,0,0,2B,0,2B
2B,0,0,0,0,0,0,0,2B,2B,2B,2B,0,0,0,0,2B,2B,2B,2B,2B,2B,2B,2B,2B,0,2B
2B,0,0,0,0,0,0,0,0,0,33,2B,0,0,0,0,2B,61,0,0,0,0,0,0,0,0,2B
2B,2B,2B,2B,2B,2B,2B,2B,41N3,2B,2B,2B,0,8,0,2B,2B,2B,2B,2B,2B,2B,2B,2B,2B,2B,2B
2B,0,0,0,0,0,2B,2R,2R,2R,2R,2B,0,5,0,2G,2G,2G,2G,2G,2B,0,0,2B,32,2B,2B
2B,0,0,0,0,0,2B,2R,0,0,0,0,0,0,0,0,0,0,0,2G,2B,0,0,2B,0,2B,2B
2B,0,0,0,0,0,2B,2R,0,0,0,0,0,0,0,0,0,0,0,2G,2B,0,0,44N2,0,2B,2B
2B,0,0,0,0,0,2B,2R,0,0,7G,7G,0,0,0,7B,7B,0,0,2G,2B,0,0,0,0,2B,2B
2B,0,0,0,0,61,2B,2R,0,0,7G,7G,0,0,0,7B,7B,0,0,2G,2B,0,0,0,0,2B,2B
2B,0,0,0,2B,2B,2B,2R,0,0,0,0,0,1,0,0,0,0,0,2G,2B,0,0,0,0,0,2B
2B,2B,0,0,0,0,0,0,5,0,0,0,2R,1,2G,0,0,0,5,0,0,0,0,0,0,0,2B
2B,0,0,0,0,0,0,0,0,0,0,0,2R,1,2G,0,0,0,0,0,0,0,61,0,0,0,2B
2B,0,0,0,0,0,2B,2R,0,0,0,0,0,1,0,0,0,0,0,2R,2B,0,2B,2B,0,2B,2B
2B,0,0,0,0,0,2B,2G,0,0,7G,7G,0,0,0,7B,7B,0,0,2R,2B,0,2B,2B,0,2B,2B
2B,0,0,0,0,0,2B,2G,0,0,7G,7G,0,0,0,7B,7B,0,0,2R,2B,0,0,2B,0,0,2B
2B,44N1,0,2B,0,0,2B,2G,0,0,0,0,0,0,0,0,0,0,0,2R,2B,0,0,0,0,0,2B
2B,2B,0,2B,0,0,2B,2G,0,0,0,0,0,5,0,0,0,0,0,2R,2B,0,0,0,0,0,2B
2B,2B,31,2B,0,0,2B,2G,2G,2G,2G,2G,0,0,0,2B,2B,2R,2R,2R,2B,0,0,0,0,0,2B
2B,2B,2B,2B,2B,2B,2B,2B,2B,2B,2B,2B,0,0,0,42P1,42P2,42P3,42P4,2B,2B,2B,2B,2B,2B,2B,2B
2B,0,0,0,0,0,0,0,0,0,34,2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2B
2B,0,0,0,0,0,0,0,41N3,2B,2B,2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2B
2B,0,0,0,0,0,0,0,0,0,0,2B,0,0,0,0,0,0,0,0,0,0,0,9,0,0,2B
2B,2B,2B,0,0,0,0,2B,2B,2B,2B,2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2B
2B,0,0,0,0,0,0,0,0,0,0,2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2B
2B,2B,2B,2B,2B,2B,2B,2B,2B,2B,2B,2B,2B,2B,2B,2B,2B,2B,2B,2B,2B,2B,2B,2B,2B,2B,2B
