0,0,0,0,0,0,2R,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2R,0,8,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2R,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2R,0,0,0,0,0,0,0,0,0,0,0,0,0
2R,2R,2R,2R,2R,2R,2R,2R,2R,2R,2R,2R,0,0,0,2R,2R,2R,2R,2R
0,0,0,0,0,0,2R,1,0,0,0,0,0,0,0,0,2R,1,1,1
0,0,0,0,0,0,2R,1,0,0,0,0,0,0,0,0,2R,0,0,0
0,0,0,0,0,0,2R,1,0,0,0,0,0,0,0,0,2R,0,9,0
0,0,0,0,0,0,2R,1,0,0,1,1,1,1,1,0,2R,0,0,0
0,0,0,0,0,0,2R,1,0,0,2R,2R,2R,2R,2R,0,0,0,0,0
0,0,0,0,0,0,2R,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2R,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2R,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2R,1,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,2R,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,2R,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,2R,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,2R,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,2R,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,2R,0,0,0,0,0,0,0,0,0,0,0,0,1
