0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,42P1,1,1,1,1,1
1,32,0,0,0,0,0,0,0,0,0,0,0,62,0,1
1,32,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,61,1,0,0,1,1,1,1,1,1,1,1,1,1,1
41P0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1,0,1,0,1,44P2,0,0,0,0,1,1,0,0,0,1
1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1
1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1
1,0,1,0,1,0,0,0,0,0,0,1,0,9,0,1
1,31,1,0,1,0,8,0,0,30,0,1,0,0,0,1
1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
